codigo_ibge,ano_pib,pib_per_capita,populacao,uf,variacao_12m_pct,tercil_renda,tercil_populacao,perfil_formato
520450,2021,31531.555004570142,106820.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
521945,2021,32691.713691713692,2611.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
510268,2021,455824.8447204969,9946.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
521305,2021,96144.46601941748,2626.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
520470,2021,25857.375776397515,12983.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
520860,2021,26211.950864043305,78009.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
500460,2021,58270.59803740048,20060.0,Mato Grosso do Sul,2.4056746559722564,alta,alta,Varejo tradicional
500450,2021,44121.39885391318,25263.0,Mato Grosso do Sul,2.4056746559722564,média,alta,Misto / avaliar caso a caso
522108,2021,11061.616732617298,2660.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
500480,2021,17610.96884336321,8441.0,Mato Grosso do Sul,2.4056746559722564,baixa,média,Atacarejo
500470,2021,62792.79975941917,30001.0,Mato Grosso do Sul,2.4056746559722564,alta,alta,Varejo tradicional
521490,2021,20757.16957605985,3022.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
510840,2021,34148.114731234265,318922.0,Mato Grosso,-1.198470469704671,média,alta,Misto / avaliar caso a caso
520465,2021,30465.27012127894,3760.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
510269,2021,56710.88940776905,4451.0,Mato Grosso,-1.198470469704671,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
510615,2021,21386.86768003987,14340.0,Mato Grosso,-1.198470469704671,baixa,média,Atacarejo
510610,2021,29617.963797449018,11658.0,Mato Grosso,-1.198470469704671,média,média,Misto / avaliar caso a caso
521760,2021,15909.68306968088,112304.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
510619,2021,88741.94407456725,4502.0,Mato Grosso,-1.198470469704671,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
510618,2021,64942.13671476461,7072.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
522130,2021,22572.791519434628,2976.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
510726,2021,51053.729456384324,2416.0,Mato Grosso,-1.198470469704671,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
500410,2021,35906.089809309,10116.0,Mato Grosso do Sul,2.4056746559722564,média,média,Misto / avaliar caso a caso
521180,2021,17635.0268404908,46633.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
520830,2021,19510.742395235055,4405.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
520815,2021,79669.89548814682,3563.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
522119,2021,25353.350948834974,8340.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
521770,2021,40072.685624895246,18763.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
